timepoint	cohort	sample	peptide	count
t1	susceptible	S.25	lcl|c218374_g1_i3|m.5753	1
t1	susceptible	S.28	lcl|c218374_g1_i3|m.5753	0
t1	susceptible	S.55	lcl|c218374_g1_i3|m.5753	1
t1	susceptible	S.73	lcl|c218374_g1_i3|m.5753	0
t1	resilient	R.10	lcl|c229351_g6_i1|m.14197	2
t1	resilient	R.13	lcl|c229351_g6_i1|m.14197	5
t1	resilient	R.21	lcl|c229351_g6_i1|m.14197	3
t1	resilient	R.26	lcl|c229351_g6_i1|m.14197	2
t1	resilient	R.66	lcl|c229351_g6_i1|m.14197	0
t1	resilient	R.74	lcl|c229351_g6_i1|m.14197	1
